新诗书目


说明

1．本书目收录1920—2016年出版的全国（包括港台地区）新诗作品，共分三部分。第一部分为个人专集，第二部分为合著，第三部分为多人合集。

2．收录的诗集以初版本为主，初版本一时查不到的，则收录再版本。

3．专集按作者姓氏笔画排列，笔画相同的以起笔﹝一﹞﹝丨﹞﹝ノ﹞﹝丶﹞﹝乛﹞为序。合著按第一作者姓氏笔画为序排列。合集以编者、出版单位名称笔画为序排列。同一诗人专集以出版日期先后为序。





专集

外文

河边恋歌 A·M 上海诗创造社1931年版
我歌唱绿色的太阳 王一义 浙江科学技术出版社1983年版

鄱湖渔歌 王一民 江西人民出版社1964年版

落星 王义修 台湾昌文书局1936年版

我的诗选 王小妮 时代文艺出版社1989年版

我的纸里包着我的火 王小妮 春风文艺出版社1997年版

王小妮的诗——半个我正在疼痛 王小妮 华艺出版社2005年版

有什么在我心里一过 王小妮 作家出版社2008年版

扑朔如雪的翅膀 王小妮 浙江文艺出版社2016年版

月光 王小妮 东方出版社2016年版

红蔷薇 王中朝 河南人民出版社1984年版

乡土集 王书怀 辽宁人民出版社1956年版

桦林曲 王书怀 上海文艺出版社1959年版

山川集 王书怀 北方文艺出版社1960年版

花朵集 王书怀 北方文艺出版社1962年版

青纱集 王书怀 作家出版社1964年版

行吟集 王书怀 黑龙江人民出版社1979年版

折箭赋 王今斩 台南世英出版社1977年版

情冢 王幻 台湾绿萼书屋1958年版

情爱，在香港 王心果 海峡文艺出版社1986年版

江户流浪曲 王文川 上海开明书店1929年版

金泉 王文绪 山西人民出版社1973年版

红色的铆钉 王方武 人民文学出版社1965年版

锤声集 王方武 吉林人民出版社1973年版

雁回岭 王主玉 人民文学出版社1976年版

晚晴集 王兰馨 云南人民出版社1979年版

美的呼唤 王尔碑 重庆出版社1983年版

寒溪的路 王尔碑 四川文艺出版社1994年版

影子 王尔碑 四川民族出版社1994年版

狮子吼 王平陵 上海南京书店1931年版

少女与诗人 王正义 台湾光明出版社1972年版

颠沛诗集 王汉倬 1961年自刊

去国草 王礼锡 中国诗歌社1939年版

雪花 王辽生 江苏人民出版社1983年版

王亚凡诗抄 王亚凡 作家出版社1962年版

都市的冬 王亚平 上海国际书店1935年版

十二月的风 王亚平 上海联合书局1936年版

中国兵的画像 王亚平 重庆文艺研究会1938年版

红蔷薇 王亚平 长沙商务出版社1940年版

青春的中国 王亚平 桂林文化工作社1942年版

火雾 王亚平 重庆春草诗社1945年版

中国，母亲的土地呵 王亚平 上海新丰出版公司1947年版

灿烂的星辰 王亚平 上海文艺出版社1960年版

情诗 王任叔 宁波青风学社1923年版

雨与泪 王在军 台湾葡萄园诗社1969年版

带组入社 王老九 西北人民出版社1954年版

王保京 王老九 陕西人民出版社1956年版

燕琹诗稿 王聿均 台北世界文物出版社1969年版

在寂寞中谢去的花朵 王西艾 台北中华书局1964年版

蝉之曲 王佐才 上海真美善书店1929年版

背水姑娘 王余 中国青年出版社1957年版

翻身民歌 王希坚 山东新华书店1946年版

黑板报上写诗歌 王希坚 山东新华书店1946年版

自由歌 王希坚 山东新华书店1950年版

迎春曲 王希坚 中国青年出版社1955年版

远方集 王希坚 作家出版社1957年版

荒原的风 王志杰 四川文艺出版社1985年版

柚灯 王良和 香港诗双月刊出版社1991年版

天涯浩歌 王谷君 1960年自刊

周槐亭 王凯 山东新华书店1950年版

青春短笛 王宗仁 天津人民出版社1986年版

秋风娃娃 王宜振 陕西人民出版社1982年版

摇篮里的歌 王宜振 未来出版社1983年版

野百合花 王尚义 台北水牛出版社1967年版

落霞与孤鹜 王尚义 台北水牛出版社1969年版

锤炼 王岩 台湾高雄新创作出版社1953年版

萌渚吟 王建文 湖南文艺出版社1986年版

列车奔向北方 王忠瑜 北方文艺出版社1959年版

拾荒者手记 王贯英 台北联经出版事业公司1978年版

甜蜜的时代 王雨谷 云南人民出版社1981年版

看瓜记 王青华 山东人民出版社1978年版

走索者 王宪阳 台北蓝星诗社1962年版

千灯 王宪阳 台湾作品杂志社1970年版

水兵的歌 王恺 新文艺出版社1956年版

醒灵集 王映湘 台湾联勤出版社1966年版

草原新歌 王树田 人民文学出版社1977年版

山水新歌 王洪涛 天津人民出版社1976年版

山情水韵 王洪涛 山东文艺出版社1983年版

